Model,CV_RMSE,CV_MAE,CV_R2
LightGBM,121583.50732150013,66077.99804547823,0.8899679414663451
Random Forest,126752.47038703671,68473.89831615676,0.8805102435267891
CART (Decision Tree),184704.42281667975,99369.8740978193,0.7465437240446015
Ridge,200795.33981821273,125765.03383257806,0.7002512734396673
Lasso,200795.43370216302,125767.22768446783,0.7002509133590057
Linear Regression,200795.4375014748,125767.37734735539,0.7002509048329013
