Model,MAE,RMSE,R2
Linear Regression,142867.2545967558,223577.99641086257,0.6537485528920348
Decision Tree,135347.1274175739,226823.75983053877,0.6436222616498471
Random Forest,121973.89071486719,201350.68997691383,0.7191724431836111
LightGBM,121500.90990444411,201207.16996408455,0.7195726405741317
